x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
437984.6181,728253.9925,117.3148,14.1263,1576.7456,8330.2529,0.0011,1e+08,60
447984.6181,728253.9925,133.9369,14.0398,1527.2465,4728.1069,0.001,1e+08,61
457984.6181,728253.9925,264.7694,13.962,1405.9636,2797.1536,8e-04,1e+08,62
467984.6181,728253.9925,136.5524,14.2028,1432.2566,6168.4912,9e-04,1e+08,63
477984.6181,728253.9925,331.3181,14.5599,1450.6647,3023.6697,0.001,1e+08,64
487984.6181,728253.9925,282.6085,15.2436,1363.3109,3755.4553,0.0052,1e+08,65
497984.6181,728253.9925,795.2166,16.1039,1442.1116,2590.9919,0.0102,1e+08,66
507984.6181,728253.9925,1304.8656,17.2238,1524.5905,2418.0835,0.0208,1e+08,67
517984.6181,728253.9925,1700.4457,18.7004,1612.3604,1283.3865,0.0337,1e+08,68
527984.6181,728253.9925,2010.9579,20.3503,1651.2218,1420.0076,0.0497,1e+08,69
537984.6181,728253.9925,2218.9861,21.9174,1493.6124,917.0485,0.0677,1e+08,70
547984.6181,728253.9925,2579.1787,23.2569,1499.8369,878.542,0.0879,1e+08,71
557984.6181,728253.9925,2726.6567,23.9323,1519.5792,3469.1514,0.1102,1e+08,72
567984.6181,728253.9925,2627.7952,24.0098,1512.6636,7308.6235,0.134,1e+08,73
577984.6181,728253.9925,2844.9529,23.6619,1656.7272,7340.8677,0.1597,1e+08,74
587984.6181,728253.9925,3277.5488,23.1773,1656.3882,3552.3748,0.1834,1e+08,75
597984.6181,728253.9925,3507.5051,22.6606,1453.2023,2853.4482,0.1993,1e+08,76
607984.6181,728253.9925,3558.9646,22.1414,1609.1107,6743.9727,0.2114,1e+08,77
377984.6181,718253.9925,88.9365,13.5904,1192.7583,21162.3867,5e-04,1e+08,78
387984.6181,718253.9925,98.8961,13.8063,1355.0127,19930.3184,5e-04,1e+08,79
397984.6181,718253.9925,109.707,14.146,1350.1287,15630.7061,6e-04,1e+08,80
407984.6181,718253.9925,129.9646,14.5695,1792.0009,6918.1943,9e-04,1e+08,81
417984.6181,718253.9925,322.0207,14.8148,1754.2257,1301.8745,0.0011,1e+08,82
427984.6181,718253.9925,138.7907,14.9795,1592.8677,4845.6318,0.0012,1e+08,83
437984.6181,718253.9925,212.9815,14.8739,1697.6865,2536.9204,0.0013,1e+08,84
447984.6181,718253.9925,151.5017,14.8017,1621.8755,3358.9885,0.001,1e+08,85
457984.6181,718253.9925,548.7626,14.7745,1521.1309,1114.7991,6e-04,1e+08,86
467984.6181,718253.9925,351.2146,15.1008,1439.5802,3392.3496,8e-04,1e+08,87
477984.6181,718253.9925,847.2462,15.5652,1424.7672,1718.484,0.001,1e+08,88
